Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.29  1233.89      0.78    16329     0.05     0.06  BinData::DSLMixin::DSLParser#option?
  0.29  1234.67      0.78    22148     0.04     0.07  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.29  1235.44      0.77    58401     0.01     0.22  BinData::Array#new_element
  0.28  1236.18      0.74    31803     0.02     0.11  BinData::BasePrimitive::ValuePlugin#_value
  0.28  1236.92      0.74    44858     0.02     0.45  BinData::Array#each
  0.27  1237.65      0.73    13540     0.05     0.22  IPAddr#coerce_other
  0.27  1238.38      0.73     5515     0.13     0.36  BinData::DSLMixin::DSLParser#to_struct_params
  0.27  1239.11      0.73    56955     0.01     0.02  Kernel#initialize_dup
  0.27  1239.83      0.72    29393     0.02     0.03  BinData::Base.arg_processor
  0.27  1240.54      0.71    72096     0.01     0.04  BinData::SanitizedField#has_parameter?
  0.27  1241.25      0.71   149705     0.00     0.00  String#to_sym
  0.27  1241.96      0.71    15640     0.05     0.16  IPAddr#in_addr
  0.26  1242.65      0.69    14059     0.05     0.08  BinData::Uint16be#value_to_binary_string
  0.25  1243.32      0.67    28147     0.02     0.46  BinData::Base#==
  0.25  1243.98      0.66   169385     0.00     0.00  Fixnum#&
  0.25  1244.64      0.66     9399     0.07     0.31  Range#each
  0.24  1245.29      0.65    21819     0.03     0.20  Array#any?
  0.24  1245.94      0.65    18788     0.03    10.44  BinData::Struct#assign_fields
  0.24  1246.58      0.64   173172     0.00     0.00  Kernel#respond_to_missing?
  0.24  1247.21      0.63   173676     0.00     0.00  Kernel#is_a?
  0.23  1247.83      0.62    22148     0.03     0.71  BinData::BaseArgProcessor#extract_args
  0.23  1248.44      0.61   170857     0.00     0.00  Hash#[]=
  0.23  1249.05      0.61    11456     0.05     0.30  IPAddr#==
  0.23  1249.66      0.61    37512     0.02     0.59  BinData::Array#to_storage_formats
  0.23  1250.27      0.61    12519     0.05     0.26  BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.22  1250.87      0.60    32330     0.02     0.51  BinData::InitialLengthPlugin#do_read
  0.22  1251.46      0.59   169765     0.00     0.00  Module#===
  0.22  1252.05      0.59    38049     0.02     0.10  BinData::BasePrimitive::InitialValuePlugin#_value
  0.21  1252.62      0.57    16562     0.03     0.04  BinData::SanitizedParameters#needs_sanitizing?
  0.21  1253.18      0.56   149637     0.00     0.00  Array#index
  0.21  1253.74      0.56      521     1.07   497.62  Trema::Controller#handle_openflow_message
  0.21  1254.29      0.55   185958     0.00     0.00  Symbol#to_sym
  0.20  1254.83      0.54    95469     0.01     0.01  String#size
  0.20  1255.36      0.53    21474     0.02     0.82  Enumerable#each_with_index
  0.20  1255.89      0.53    10327     0.05     0.10  Hash#fetch
  0.20  1256.42      0.53    22148     0.02     0.11  BinData::RegisterNamePlugin#initialize_shared_instance
  0.19  1256.93      0.51   184123     0.00     0.00  Fixnum#<
  0.19  1257.43      0.50    10424     0.05     0.51  Pio::Mac#==
  0.19  1257.93      0.50    31803     0.02     0.03  BinData::Base#reading?
  0.18  1258.41      0.48     8854     0.05     4.77  BinData::Primitive#do_write
  0.17  1258.87      0.46     7042     0.07     1.27  BinData::SanitizedParameters#sanitize!
  0.17  1259.32      0.45    70951     0.01     0.01  String#unpack
  0.16  1259.75      0.43    11994     0.04     0.08  BinData::Struct#field_names
  0.16  1260.17      0.42    10466     0.04     3.58  BinData::Primitive#read_and_return_value
  0.16  1260.59      0.42   108119     0.00     0.00  BinData::BasePrimitive#initialize_instance
  0.15  1261.00      0.41      911     0.45    34.74  Kernel#require
  0.15  1261.40      0.40    16250     0.02     1.32  BinData::Primitive#initialize_instance
  0.15  1261.79      0.39    31803     0.01     0.01  BinData::Base#furthest_ancestor
  0.14  1262.17      0.38     6775     0.06     3.89  Pio::OpenFlow13::StatsRequest#stats_flags
  0.14  1262.55      0.38    68151     0.01     0.01  Exception#initialize
  0.14  1262.92      0.37    12519     0.03     0.10  BinData::LazyEvaluator#recursively_eval
  0.14  1263.29      0.37    72085     0.01     0.01  Array#[]=
  0.14  1263.66      0.37    95700     0.00     0.00  NilClass#nil?
  0.14  1264.03      0.37    12523     0.03     0.41  BinData::LazyEvaluator#method_missing
  0.13  1264.39      0.36    25008     0.01     0.46  BinData::Array#do_write
  0.13  1264.75      0.36    54290     0.01     0.01  BinData::IO::Read::SeekableStream#raw_io
  0.13  1265.10      0.35     3126     0.11     0.20  Pio::Mac#parse_mac_string
  0.13  1265.45      0.35    22148     0.02     0.40  BinData::SanitizedParameters.sanitize
  0.13  1265.80      0.35    11997     0.03     1.62  BinData::LazyEvaluator#lazy_eval
  0.13  1266.14      0.34   138123     0.00     0.00  Kernel#initialize_copy
  0.13  1266.48      0.34    13395     0.03     0.09  BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.12  1266.81      0.33     5515     0.06     0.57  BinData::StructArgProcessor#sanitize_parameters!
  0.12  1267.14      0.33     5515     0.06     0.15  BinData::StructArgProcessor#sanitize_endian
  0.12  1267.46      0.32    13037     0.02     0.35  BinData::String#snapshot
  0.12  1267.78      0.32    68152     0.00     0.00  Exception#backtrace
  0.12  1268.10      0.32    45413     0.01     0.01  Symbol#inspect
  0.12  1268.42      0.32    10430     0.03     1.96  Pio::OpenFlow10::Match::MatchIpAddress#get
  0.12  1268.74      0.32    20854     0.02     0.04  Kernel#raise
  0.12  1269.06      0.32    11997     0.03     0.18  BinData::Uint16be#read_and_return_value
  0.12  1269.37      0.31     9106     0.03     0.45  Array#map
  0.11  1269.67      0.30    20852     0.01     0.02  Exception.exception
  0.11  1269.96      0.29    21481     0.01     0.79  BinData::SanitizedFields#each
  0.11  1270.25      0.29     5220     0.06     0.73  Integer#times
  0.11  1270.54      0.29     2606     0.11    20.25  BinData::Base#to_binary_s
  0.10  1270.82      0.28    45880     0.01     0.01  Fixnum#to_s
  0.10  1271.10      0.28     2086     0.13     0.17  IPAddr#mask!
  0.10  1271.37      0.27    56896     0.00     0.00  StringIO#read
  0.10  1271.64      0.27     5210     0.05     5.90  Kernel#inspect
  0.10  1271.91      0.27     3126     0.09     0.79  Pio::IPv4Address#to_a
  0.10  1272.18      0.27      521     0.52   131.40  PacketIn(open_flow_version: uint8, message_type: uint8, message_length: uint16, transaction_id: uint32, buffer_id: uint32, total_length: uint16, in_port: uint16, reason: symbol, raw_data: string)#inspect
  0.10  1272.45      0.27     6252     0.04     1.86  BinData::Array#assign
  0.10  1272.72      0.27    76594     0.00     0.00  Kernel#class
  0.10  1272.98      0.26     7996     0.03     1.16  BinData::SanitizedParameters#initialize
  0.10  1273.24      0.26     7237     0.04     0.04  BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.10  1273.50      0.26    24998     0.01     0.01  String#==
  0.10  1273.76      0.26     4177     0.06     0.55  BinData::IO::Read#initialize
  0.10  1274.02      0.26     6574     0.04     0.11  BinData::DSLMixin::DSLParser#hide
  0.09  1274.27      0.25    76247     0.00     0.00  Fixnum#zero?
  0.09  1274.52      0.25    12519     0.02     0.38  BinData::LazyEvaluator#eval_symbol_in_parent_context
  0.09  1274.76      0.24     5309     0.05     1.04  BinData::RecordArgProcessor#sanitize_parameters!
  0.09  1275.00      0.24    12552     0.02     0.02  Array#-
  0.09  1275.24      0.24    13557     0.02     0.09  BinData::Struct#as_stringified_hash
  0.09  1275.48      0.24     4286     0.06     0.08  Kernel#extend
  0.09  1275.71      0.23    73019     0.00     0.00  Array#at
  0.09  1275.94      0.23    12786     0.02     0.07  BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.09  1276.17      0.23    16664     0.01     0.01  Array#pack
  0.09  1276.40      0.23     1043     0.22     6.28  Pio::OpenFlow10::Match::Wildcards#destination_ip_address
  0.09  1276.63      0.23     2084     0.11     0.56  IPAddr#to_range
  0.08  1276.85      0.22    53248     0.00     0.00  BinData::IO::Read#reset_read_bits
  0.08  1277.07      0.22    22322     0.01     0.01  Kernel#method
  0.08  1277.28      0.21      187     1.12    26.74  Kernel#gem_original_require
  0.08  1277.49      0.21    44008     0.00     0.00  Fixnum#>>
  0.08  1277.70      0.21    12514     0.02     0.02  String#match
  0.08  1277.91      0.21    12507     0.02     0.53  Enumerable#map
  0.07  1278.11      0.20    29763     0.01     0.01  String#+
  0.07  1278.31      0.20     5601     0.04     0.10  BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.07  1278.51      0.20     4177     0.05    18.06  BinData::Base#read
  0.07  1278.71      0.20    12519     0.02     0.02  BinData::Base#safe_respond_to?
  0.07  1278.91      0.20     5792     0.03     0.06  BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.07  1279.11      0.20     5214     0.04    15.43  BinData::Primitive#assign
  0.07  1279.30      0.19     7860     0.02     0.08  Pio::OpenFlow::Parser.find_by_type!
  0.07  1279.49      0.19     4194     0.05     1.75  Enumerable#reduce
  0.07  1279.68      0.19     7291     0.03     0.33  BinData::Uint16be#assign
  0.07  1279.87      0.19    21203     0.01     0.01  Array#empty?
  0.07  1280.05      0.18     8312     0.02     0.61  BinData::DSLMixin#method_missing
  0.07  1280.23      0.18     5224     0.03     0.28  BinData::MultiFieldArgSeparator#parameters_is_value?
  0.07  1280.41      0.18     6773     0.03     0.31  Pio::Ethernet#vlan?
  0.06  1280.58      0.17     3124     0.05     0.93  IPAddr#inspect
  0.06  1280.75      0.17     7122     0.02     0.06  BinData::SanitizedParameters#merge_default_parameters!
  0.06  1280.92      0.17        3    56.67    56.67  #<BinData::Struct:0x007f7c0360ffa0>.port=
  0.06  1281.09      0.17     3126     0.05     2.63  Pio::OpenFlow10::Match::MatchIpAddress#set
  0.06  1281.26      0.17     2084     0.08     0.27  BinData::IO::Read#read_big_endian_bits
  0.06  1281.43      0.17     6331     0.03     0.03  Hash#==
  0.06  1281.60      0.17      521     0.33    78.66  Pio::IPv4#to_exact_match
  0.06  1281.76      0.16     7054     0.02     0.06  BinData::AcceptedParametersPlugin#mandatory_parameters
  0.06  1281.92      0.16     6248     0.03     0.38  Pio::OpenFlow10::FlowMod::Flags#get
  0.06  1282.08      0.16     5735     0.03     8.06  BinData::Base#inspect
  0.06  1282.24      0.16    14012     0.01     0.02  BinData::DSLMixin::DSLParser#endian
  0.06  1282.40      0.16     5515     0.03     0.29  BinData::StructArgProcessor#sanitize_hide
  0.06  1282.55      0.15     3126     0.05     0.20  Pio::Mac#to_a
  0.06  1282.70      0.15    42773     0.00     0.00  Integer#to_int
  0.06  1282.85      0.15     5960     0.03    46.27  nil#
  0.06  1283.00      0.15    32444     0.00     0.00  String#length
  0.06  1283.15      0.15    27581     0.01     0.01  String#initialize_copy
  0.06  1283.30      0.15     7298     0.02     0.38  Pio::IPv4Address#initialize
  0.06  1283.45      0.15    53148     0.00     0.00  Fixnum#>=
  0.06  1283.60      0.15     3711     0.04     0.04  Regexp#===
  0.06  1283.75      0.15    47300     0.00     0.00  Exception#exception
  0.06  1283.90      0.15     5539     0.03     0.40  BinData::DSLMixin::DSLParser#dsl_params
